name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
guestlist,0.0,0.000986,0.001355,0.022225,0.00741,0.004398,0.007125,0.0,0.000398,0.00017
matthew,0.0,0.000101,0.000106,0.00818,0.034785,0.0,0.000287,0.000412,0.000162,0.0
songs,0.002028,0.002471,0.008529,0.003066,0.001551,0.000526,0.004492,0.017192,0.002104,0.001934
koma,0.0,0.0,0.0,0.008126,0.034569,0.0,0.000238,0.000283,0.0,0.0
lineup,0.001384,0.008493,0.003542,0.0027,0.00395,0.013658,0.002182,0.001053,0.00067,0.005497
concert,0.00198,0.001417,0.020125,0.00177,0.001953,0.001468,0.003908,0.005142,0.003355,0.001885
asot,0.0,0.020458,0.000637,0.003228,0.002901,0.002713,0.001807,0.001808,0.000717,0.008685
game,0.003255,0.001582,0.004015,0.000697,0.001407,0.002313,0.003657,0.004952,0.017995,0.003039
give,0.005,0.004342,0.003003,0.005266,0.002858,0.004033,0.005696,0.003009,0.005574,0.003826
deadmau5,0.000114,0.006179,0.012202,0.003085,0.006794,0.002273,0.00647,0.002037,0.000141,0.003179
sweet,0.000993,0.001425,0.001314,0.030217,0.000531,0.001051,0.001543,0.001552,0.00213,0.001616
cover,0.007629,0.00087,0.018461,0.003406,0.000618,0.00076,0.002735,0.003974,0.001989,0.001756
players,0.001697,0.007072,0.002293,0.013061,0.004108,0.003422,0.002027,0.002874,0.001675,0.003959
morning,0.003032,0.004428,0.004913,0.002172,0.002844,0.004695,0.004363,0.00643,0.004993,0.004303
went,0.004392,0.004901,0.002016,0.002986,0.004208,0.00834,0.001681,0.003718,0.004842,0.00478
city,0.00364,0.003435,0.001861,0.005453,0.002039,0.00517,0.003822,0.003704,0.007422,0.005242
photo,0.002605,0.004545,0.002873,0.002262,0.003935,0.010036,0.004692,0.003528,0.004501,0.002728
release,0.002978,0.003585,0.00497,0.001663,0.002284,0.001759,0.009133,0.004231,0.005344,0.005553
many,0.004825,0.00477,0.004048,0.002458,0.003361,0.00726,0.002885,0.002598,0.003512,0.005682
tour,0.002274,0.005362,0.002636,0.00228,0.012279,0.001834,0.003877,0.002267,0.004329,0.004255
djing,0.000277,0.000776,0.000302,0.024951,0.007267,0.00393,0.001703,0.000816,0.000523,0.000839
friends,0.002413,0.004054,0.00253,0.002387,0.004107,0.009134,0.004911,0.002382,0.003564,0.005697
http://t.co/epg1ajfzlu,0.0,0.0,0.035518,0.005552,0.0,0.0,0.0,0.0,0.0,0.0
part,0.01089,0.003364,0.002114,0.001627,0.002427,0.004398,0.003137,0.003927,0.004475,0.004551
